athlete_id,pts_avg,pts_std,reb_avg,ast_avg,pra_avg,min_avg,games_played,games_started,athlete_display_name,team_id,team_display_name,team_abbreviation,position_group
869,10.380952380952381,5.639375423609322,6.0,1.5714285714285714,17.952380952380953,26.785714285714285,42,26,DeWanna Bonner,20,Atlanta Dream,ATL,Forward
887,5.333333333333333,4.0041644987854,1.7142857142857142,2.142857142857143,9.19047619047619,17.523809523809526,21,9,Sami Whitcomb,11,Phoenix Mercury,PHX,Guard
924,2.6333333333333333,2.9767296720108605,1.7,0.6666666666666666,5.0,11.433333333333334,30,1,Alysha Clark,3,Dallas Wings,DAL,Forward
981,9.555555555555555,3.4006032647315045,2.888888888888889,5.444444444444445,17.88888888888889,22.48148148148148,27,24,Courtney Vandersloot,19,Chicago Sky,CHI,Guard
1054,9.023809523809524,5.394161682367042,2.0238095238095237,2.5476190476190474,13.595238095238095,17.0,42,4,Tiffany Hayes,129689,Golden State Valkyries,GS,Guard
1068,17.25581395348837,4.860398882591419,9.046511627906977,3.0930232558139537,29.3953488372093,30.953488372093023,43,43,Nneka Ogwumike,6,Los Angeles Sparks,LA,Forward
2284331,3.9444444444444446,3.2444019157388118,1.4444444444444444,0.3333333333333333,5.722222222222222,7.444444444444445,18,2,Emma Cannon,6,Los Angeles Sparks,LA,Forward
2327695,5.093023255813954,3.797329597345332,2.3488372093023258,1.1627906976744187,8.604651162790697,14.744186046511627,43,2,Rebekah Gardner,9,New York Liberty,NY,Guard
2490553,13.222222222222221,5.926565869585518,5.833333333333333,2.5,21.555555555555557,25.27777777777778,18,18,Brittney Griner,18,Connecticut Sun,CON,Center
2491205,14.157894736842104,6.5681314601028635,3.1578947368421053,4.894736842105263,22.210526315789473,29.105263157894736,19,19,Skylar Diggins,19,Chicago Sky,CHI,Guard
2491214,8.953488372093023,5.037731388385872,1.9069767441860466,5.046511627906977,15.906976744186046,26.11627906976744,43,41,Erica Wheeler,6,Los Angeles Sparks,LA,Guard
2491232,2.25,2.6299556396765835,2.75,0.5,5.5,10.0,4,0,Kayla Alexander,131935,Toronto Tempo,TOR,Center
2529047,4.628571428571429,5.16256727223347,0.9428571428571428,2.0,7.571428571428571,14.285714285714286,35,11,Odyssey Sims,3,Dallas Wings,DAL,Guard
2529122,11.931818181818182,5.646145947387175,3.2954545454545454,6.659090909090909,21.886363636363637,32.75,44,44,Chelsea Gray,17,Las Vegas Aces,LV,Guard
2529130,14.795454545454545,5.609707306772188,7.636363636363637,3.272727272727273,25.704545454545453,28.40909090909091,44,44,Natasha Howard,8,Minnesota Lynx,MIN,Forward
2529137,11.125,6.48148249898242,3.375,4.825,19.325,28.25,40,27,Natasha Cloud,19,Chicago Sky,CHI,Guard
2529140,14.261904761904763,5.901878674892218,7.809523809523809,8.523809523809524,30.595238095238095,33.166666666666664,42,42,Alyssa Thomas,11,Phoenix Mercury,PHX,Forward
2529183,3.272727272727273,3.823815435141921,2.409090909090909,1.1590909090909092,6.840909090909091,14.977272727272727,44,12,Stefanie Dolson,14,Seattle Storm,SEA,Center
2529205,17.613636363636363,7.628636103192103,3.0,2.1818181818181817,22.795454545454547,31.954545454545453,44,44,Kayla McBride,8,Minnesota Lynx,MIN,Guard
2529458,5.46875,4.96428778636034,3.03125,0.75,9.25,11.46875,32,1,Cheyenne Parker-Tyus,17,Las Vegas Aces,LV,Forward
2529622,7.7272727272727275,6.05541708802429,4.5,0.6818181818181818,12.909090909090908,24.272727272727273,44,44,Kayla Thornton,129689,Golden State Valkyries,GS,Forward
2566081,5.181818181818182,3.5455358585569114,3.590909090909091,1.3636363636363635,10.136363636363637,17.204545454545453,44,3,Elizabeth Williams,19,Chicago Sky,CHI,Center
2566106,14.452380952380953,5.292435379065063,6.9523809523809526,2.380952380952381,23.785714285714285,28.714285714285715,42,42,Dearica Hamby,6,Los Angeles Sparks,LA,Forward
2566110,5.8,4.43846820423443,2.0,5.4,13.2,16.2,5,0,Julie Vanloo,9,New York Liberty,NY,Guard
2566186,5.0,4.076197322920545,1.15,1.275,7.425,13.775,40,2,Rachel Banham,19,Chicago Sky,CHI,Guard
2566453,12.75,6.5697252851683725,6.9375,1.46875,21.15625,23.6875,32,26,Isabelle Harrison,131935,Toronto Tempo,TOR,Forward
2569044,5.88,5.379900866496828,3.4,0.96,10.24,17.76,25,10,Temi Fagbenle,131935,Toronto Tempo,TOR,Center
2590093,3.5813953488372094,2.8050342340626733,5.767441860465116,1.2790697674418605,10.627906976744185,22.27906976744186,43,43,Kiah Stokes,129689,Golden State Valkyries,GS,Center
2593770,4.466666666666667,3.9368579571420463,1.8666666666666667,1.8666666666666667,8.2,16.233333333333334,30,5,Betnijah Laney-Hamilton,16,Washington Mystics,WSH,Guard
2955898,3.3333333333333335,3.366501646120693,1.5,0.3333333333333333,5.166666666666667,8.25,12,0,Damiris Dantas,5,Indiana Fever,IND,Center
2987869,7.976744186046512,5.0023250408138695,2.302325581395349,1.3255813953488371,11.604651162790697,26.11627906976744,43,4,Jewell Loyd,17,Las Vegas Aces,LV,Guard
2987891,13.767441860465116,6.2786001218891885,4.837209302325581,4.348837209302325,22.953488372093023,29.88372093023256,43,43,Courtney Williams,8,Minnesota Lynx,MIN,Guard
2988756,18.58823529411765,10.506300630630006,3.4705882352941178,3.3529411764705883,25.41176470588235,29.41176470588235,17,17,Brittney Sykes,131935,Toronto Tempo,TOR,Guard
2998928,20.930232558139537,6.60950019303819,8.348837209302326,3.2790697674418605,32.55813953488372,33.02325581395349,43,43,Breanna Stewart,9,New York Liberty,NY,Forward
2998938,21.475,7.52768394933167,3.675,1.875,27.025,32.975,40,40,Kahleah Copper,11,Phoenix Mercury,PHX,Guard
2999101,14.409090909090908,4.691993089757704,9.068181818181818,2.5681818181818183,26.045454545454547,28.318181818181817,44,44,Jonquel Jones,9,New York Liberty,NY,Center
3054590,6.204545454545454,5.069652276753126,4.25,1.75,12.204545454545455,22.318181818181817,44,28,Nia Brodie,8,Minnesota Lynx,MIN,Forward
3056672,1.5714285714285714,1.5118578920369088,1.1428571428571428,0.5714285714285714,3.2857142857142856,9.714285714285714,7,0,Mercedes Russell,5,Indiana Fever,IND,Center
3056730,4.75,4.655901561979023,1.53125,0.875,7.15625,16.0625,32,4,Karlie Samuelson,132052,Portland Fire,POR,Guard
3058892,3.8,5.223876806442595,1.3,1.1,6.2,14.9,10,0,Lexie Brown,14,Seattle Storm,SEA,Guard
3058893,1.1333333333333333,2.099886618254378,0.4,0.5333333333333333,2.066666666666667,3.066666666666667,15,0,Shatori Walker-Kimbrough,20,Atlanta Dream,ATL,Guard
3058895,8.222222222222221,4.790035954399971,5.555555555555555,2.0,15.777777777777779,16.88888888888889,9,0,Brionna Jones,20,Atlanta Dream,ATL,Forward
3058901,19.022727272727273,5.748563567247105,3.4545454545454546,2.6363636363636362,25.113636363636363,32.63636363636363,44,44,Allisha Gray,20,Atlanta Dream,ATL,Guard
3065570,21.529411764705884,10.056823846640297,2.0588235294117645,5.352941176470588,28.941176470588236,30.647058823529413,17,15,Kelsey Plum,11,Phoenix Mercury,PHX,Guard
3099736,3.911111111111111,3.4563658149080005,2.577777777777778,1.0444444444444445,7.533333333333333,17.2,45,44,Stephanie Talbot,17,Las Vegas Aces,LV,Forward
3102133,5.793103448275862,4.9380397379124,2.5517241379310347,0.6206896551724138,8.96551724137931,18.24137931034483,29,12,Rebecca Allen,9,New York Liberty,NY,Guard
3142010,10.59375,5.296738954147834,6.40625,2.09375,19.09375,24.5,32,31,Azura Stevens,19,Chicago Sky,CHI,Forward
3142055,3.789473684210526,3.1119464208619956,3.289473684210526,1.4736842105263157,8.552631578947368,13.81578947368421,38,3,Myisha Hines-Allen,5,Indiana Fever,IND,Forward
3142086,1.5238095238095237,2.015042155802995,2.261904761904762,0.21428571428571427,4.0,13.166666666666666,42,7,Brianna Turner,17,Las Vegas Aces,LV,Forward
3142191,24.681818181818183,6.076155176887373,1.7045454545454546,2.75,29.136363636363637,32.5,44,44,Kelsey Mitchell,5,Indiana Fever,IND,Guard
3142242,5.2,2.863564212655271,1.2,0.2,6.6,10.0,5,0,Amy Okonkwo,132052,Portland Fire,POR,Forward
3142250,11.604651162790697,4.541551732317935,3.511627906976744,7.27906976744186,22.3953488372093,31.13953488372093,43,43,Jordin Canada,20,Atlanta Dream,ATL,Guard
3142255,6.465116279069767,4.792597651385104,4.767441860465116,0.9534883720930233,12.186046511627907,18.74418604651163,43,31,Monique Billings,5,Indiana Fever,IND,Forward
3142327,5.511627906976744,5.517815704059402,1.1627906976744187,1.0465116279069768,7.72093023255814,14.348837209302326,43,4,Kia Nurse,131935,Toronto Tempo,TOR,Guard
3142328,14.35897435897436,6.343198510328246,3.282051282051282,2.230769230769231,19.871794871794872,25.076923076923077,39,39,Gabby Williams,129689,Golden State Valkyries,GS,Forward
3146151,8.5,4.2152452696049405,2.857142857142857,2.8333333333333335,14.19047619047619,26.904761904761905,42,42,Ariel Atkins,6,Los Angeles Sparks,LA,Guard
3149391,26.170731707317074,6.741299722695878,9.365853658536585,3.2195121951219514,38.75609756097561,32.02439024390244,41,41,A'ja Wilson,17,Las Vegas Aces,LV,Center
3904479,1.3333333333333333,2.3094010767585034,1.0,0.3333333333333333,2.6666666666666665,5.0,3,0,Mariella Fasoula,131935,Toronto Tempo,TOR,Center
3904576,20.84375,10.561981042796237,3.28125,3.6875,27.8125,29.46875,32,32,Marina Mabrey,131935,Toronto Tempo,TOR,Guard
3904577,15.272727272727273,8.190645930639377,3.0454545454545454,3.2954545454545454,21.613636363636363,30.09090909090909,44,44,Arike Ogunbowale,3,Dallas Wings,DAL,Guard
3906753,14.65,7.273238618387272,2.475,4.975,22.1,29.95,40,40,Natisha Hiedeman,14,Seattle Storm,SEA,Guard
3906769,10.375,6.642037839900242,1.0625,1.625,13.0625,20.0625,16,7,Jovana Nogic,11,Phoenix Mercury,PHX,Guard
3906949,14.476190476190476,5.636285298211396,11.119047619047619,5.309523809523809,30.904761904761905,31.761904761904763,42,42,Jessica Shepard,3,Dallas Wings,DAL,Forward
3906972,14.575,6.20127158176202,4.45,2.125,21.15,30.875,40,40,Bridget Carleton,132052,Portland Fire,POR,Forward
3907781,7.8604651162790695,5.621308928019376,2.255813953488372,1.2093023255813953,11.325581395348838,22.25581395348837,43,3,Sophie Cunningham,5,Indiana Fever,IND,Guard
